Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
1, Hospital Infanta Sofia, 0.08333333333333337, 0.6824618736383442, 0.0, 0.04366028708133971, 0.05697984790852978,0.0029160504757313756
2, Reyes Catolicos, 0.08333333333333337, 0.6443355119825708, 0.0091324200913242, 0.04564401834097541, 0.06273598207898558,0.00525523594088091
3, Manuel de Falla, 0.08333333333333337, 0.5735294117647058, 0.02714590926228478, 0.05013736263736264, 0.06337627988598539,0.0047425247761051946
4, Marques de Valdavia, 0.08333333333333337, 0.5408496732026143, 0.03602697834192116, 0.0526948989412897, 0.0633828260188546,0.00462502301509912
5, La Moraleja, 0.08333333333333337, 0.5027233115468409, 0.04482426375099493, 0.05549923973644197, 0.06338948337757104,0.004533429195425076
6, La Granja, 0.08333333333333337, 0.47004357298474947, 0.053537765489506096, 0.058587479935794544, 0.063449510873704,0.00443903488946416
7, Ronda de la Comunicacion, 0.09234234234234229, 0.4351851851851852, 0.062167483557454654, 0.062004530011325026, 0.06404312852309875,0.004306269694161913
8, Las Tablas, 0.11936936936936937, 0.43191721132897604, 0.0871978551380336, 0.06580528846153846, 0.06991927763343048,0.0061337322852632855
9, Palas del Rey, 0.11936936936936937, 0.46459694989106753, 0.010577688408529178, 0.062057240011334655, 0.06404312990659848,0.004284795698218475
10, Maria Tudor, 0.13288288288288286, 0.5136165577342048, 0.0028905366344099534, 0.05904556484227554, 0.06344952471620087,0.004387571902322697
11, Blasco Ibanez, 0.15090090090090091, 0.5354030501089324, 0.0031209417284571235, 0.059141236834998646, 0.06338962043677694,0.004435652125345808
12, Alvarez de Villaamil, 0.1644144144144144, 0.5571895424836601, 0.011038498596623519, 0.06232214001138304, 0.06338418281108615,0.004443846436857803
13, Antonio Saura, 0.18693693693693691, 0.5735294117647058, 0.01895605546478991, 0.06586466165413533, 0.06338971083882496,0.004417233019216848
14, Virgen del Cortijo, 0.19594594594594594, 0.5844226579520697, 0.026873612332956306, 0.06983418367346939, 0.06345042882035634,0.004344433843587186
15, Fuente de la Mora, 0.21846846846846846, 0.5953159041394336, 0.0347911692011227, 0.07431286053613845, 0.06405208082685059,0.004201319610414353
16, Pinar de Chamartin, 0.24549549549549554, 0.5844226579520697, 0.05047407593593356, 0.07963636363636363, 0.07000788339199131,0.005904622479671043
17, Montecarmelo, 0.14639639639639634, 0.43191721132897604, 0.09276946923044699, 0.06976744186046512, 0.06404402132400973,0.0042378025362967645
18, Tres Olivos, 0.16891891891891897, 0.43191721132897604, 0.10068702609861338, 0.07423728813559322, 0.06345843908950768,0.004277032489988053
19, Fuencarral, 0.20495495495495497, 0.44281045751633985, 0.10860458296677977, 0.07931908728721478, 0.06347787329871273,0.004222530046002575
20, Begona, 0.22747747747747749, 0.44281045751633985, 0.11652213983494616, 0.08514774494556765, 0.06425779860339371,0.0040529370617168724
21, Chamartin, 0.2635135135135135, 0.44281045751633985, 0.18265678019353973, 0.09190096516995384, 0.07203761991525572,0.005565998162926217
22, Bambu, 0.2635135135135135, 0.5136165577342048, 0.054041863907391255, 0.08514774494556765, 0.0649107995903449,0.003931571391227224
