Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
1, Erding, 0.20422308188265648, 0.9166666666666666, 0.0, 0.045704197724597884, 0.05715132488969581,0.0027435080407269526
2, Altnerding, 0.23484848484848497, 0.9166666666666666, 0.008583690987124463, 0.0478832716810522, 0.0629247810860368,0.0049488642781855
3, Aufhausen, 0.2638620245003225, 0.9166666666666666, 0.017093384638153027, 0.050258843830888696, 0.06350801856458729,0.004645339678867132
4, St. Koloman, 0.2880399742101871, 0.9166666666666666, 0.02552908095308569, 0.052858439201451904, 0.06356693756672513,0.004476507275875578
5, Ottenhofen, 0.31221792392005165, 0.9166666666666666, 0.03389077993192245, 0.05571496891439503, 0.06357289039537968,0.004376066962152411
6, Markt Schwaben, 0.3492907801418441, 0.905982905982906, 0.04217848157466331, 0.05886811520970187, 0.0635735000363079,0.0043146350719058015
7, Poing, 0.3702450032237268, 0.8899572649572649, 0.05039218588130827, 0.0623661670235546, 0.06357364403296094,0.004265288244778655
8, Grub, 0.3928110896196003, 0.8814102564102564, 0.05853189285185733, 0.06626848691695109, 0.06357447525571303,0.004214972145808051
9, Heimstetten, 0.413765312701483, 0.8685897435897436, 0.06659760248631048, 0.07064887810794421, 0.0635826455778966,0.004142514802484986
10, Feldkirchen, 0.43310767246937465, 0.8525641025641025, 0.07458931478466775, 0.07560025957170668, 0.06366352271931829,0.004024870146004938
11, Riem, 0.4572856221792393, 0.8365384615384616, 0.08250702974692911, 0.08124128312412832, 0.06446413646757561,0.0038188288856933475
12, Berg am Laim, 0.49274661508704076, 0.813034188034188, 0.18607863450249132, 0.08772590361445783, 0.07238942876588356,0.0051790039764520405
13, Leuchtenbergring, 0.49274661508704076, 0.7596153846153846, 0.23249253860194383, 0.09406540169559952, 0.07323672523374379,0.005013501660587383
14, Ostbahnhof, 0.49274661508704076, 0.7083333333333334, 0.30007944436222517, 0.10008591065292097, 0.0868398469080332,0.0077105144723764755
15, Rosenheimer Platz, 0.49274661508704076, 0.6602564102564102, 0.13522936825067938, 0.10196936542669584, 0.06610137152770211,0.0033657769368393535
16, Isartor, 0.49274661508704076, 0.6282051282051282, 0.137979602575577, 0.10538218000904569, 0.06558565395464204,0.0033273422399965483
17, Marienplatz, 0.49274661508704076, 0.5801282051282052, 0.15754819810613793, 0.10944105213715359, 0.08116704041279513,0.005909796408973497
18, Karlsplatz (Stachus), 0.49274661508704076, 0.5160256410256411, 0.16916119908572197, 0.11006140765233821, 0.07628979155034035,0.0044643309607428
19, Hauptbanhof Central Station, 0.49274661508704076, 0.483974358974359, 0.3757558005689574, 0.1139364303178484, 0.0934020179788754,0.009018289489969135
20, Hackerbrucke, 0.49274661508704076, 0.4198717948717949, 0.21073136089323005, 0.11305191654536632, 0.0675855489363851,0.0032586676496792174
21, Donnersbergerbrucke, 0.49274661508704076, 0.3717948717948718, 0.21206331294295624, 0.1131617289946576, 0.07386556680374179,0.004729299378579536
22, Hirschgarten, 0.49274661508704076, 0.33974358974358976, 0.09367233216112163, 0.10787037037037037, 0.06625489157201474,0.003340897033495633
23, Laim, 0.49274661508704076, 0.3076923076923077, 0.24947680653337756, 0.1071264367816092, 0.08009528170434593,0.006398745012284598
24, Obermenzing, 0.41698903932946496, 0.30235042735042733, 0.1358591090720734, 0.09818794774546986, 0.06524324653238656,0.003655290176190969
25, Untermenzing, 0.3960348162475823, 0.2916666666666667, 0.12845937546248334, 0.09055577147298872, 0.06374891287238928,0.0038924974088236997
26, Allach, 0.37185686653771777, 0.280982905982906, 0.12098564451679739, 0.08396396396396397, 0.06365748569740293,0.003995750561283825
