Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
1, Trieste, 0.21279168973059004, 0.5787684346864457, 0.017857142857142856, 0.10586011342155009, 0.08515026480145392,0.008749012147994742
2, Villa Opicina, 0.20909443087240898, 0.5801767087610679, 0.0, 0.09580838323353294, 0.07644217077089759,0.005046340307208846
3, Gorizia, 0.18442844078461074, 0.5671710516343658, 0.015481552981552986, 0.1062618595825427, 0.08680842617922255,0.0078047941919999276
4, Udine, 0.17129230461212142, 0.5375229998689682, 0.018339768339768338, 0.09730668983492616, 0.09302378667155152,0.011806127952372689
5, Tarviso, 0.12723981337354884, 0.5640272498791041, 0.0, 0.08874801901743265, 0.07722952294800563,0.004672028821141493
6, Pordenone, 0.1816931815685422, 0.49319823167565974, 0.019910982410982422, 0.10666666666666667, 0.08692848122869054,0.007503545532367671
7, San Candido, 0.10423836685454568, 0.4642288231540279, 0.0, 0.10351201478743069, 0.07721166813498466,0.005154164310430613
8, Brennero, 0.08333333333333348, 0.400165540873067, 0.0, 0.10351201478743069, 0.07721166813498466,0.005154164310430613
9, Merano, 0.11064641517791729, 0.3782154198399343, 0.0, 0.11487179487179487, 0.07740290689858524,0.004745878713931075
10, Bolzano, 0.12796062311622092, 0.3932220745892812, 0.06998069498069498, 0.12962962962962962, 0.09475763721152147,0.012060986847133023
11, Trento, 0.17129230461212142, 0.3749314099222258, 0.11549227799227806, 0.1471747700394218, 0.09805682577051532,0.010145461477698271
12, Bassano, 0.2012230095227696, 0.42236466375981524, 0.023927498927498923, 0.13160987074030553, 0.08743639877003453,0.006984190833119537
13, Treviso, 0.2106125655547132, 0.46139064654126527, 0.03664199914199911, 0.11851851851851852, 0.09698959565448748,0.009994064981138707
14, Venice, 0.2336590502548791, 0.46828290627961267, 0.13096846846846835, 0.1320754716981132, 0.10666030198667129,0.012678832775360544
15, Padua, 0.23695590476921768, 0.43339613366826607, 0.14042065024207867, 0.14678899082568808, 0.09751724044974733,0.009192081495294746
16, Vicenza, 0.22273971920895252, 0.4082178914505651, 0.03395538395538392, 0.14640522875816994, 0.0895891456796483,0.006362668727600031
17, Verona, 0.23376934905881308, 0.3654148793723913, 0.3040737512857149, 0.1654357459379616, 0.11910291194474011,0.014298518622167584
18, Mantonva, 0.2616172279867648, 0.3499238579497883, 0.0322538946599097, 0.14834437086092717, 0.09859864992321468,0.009003202167784432
19, Brescia, 0.223840740680469, 0.3060755453215964, 0.18267469511222276, 0.15321477428180574, 0.1046138460678364,0.008924840099141235
20, Bergamo, 0.20834915535574017, 0.2638057573361257, 0.006163306163306164, 0.13861386138613863, 0.10221390738989385,0.009181189475177771
21, Lecco, 0.19259232198791132, 0.24233444649556704, 0.0, 0.12641083521444696, 0.0927035654618355,0.006493940347832855
22, Como, 0.1968849478206921, 0.21895648597405198, 0.017857142857142856, 0.12655367231638417, 0.09017666434417189,0.007860436751365425
23, Chiasso, 0.19438462286971792, 0.21480011959218875, 0.0, 0.11244979919678715, 0.07694480552480713,0.0046682237278375845
24, Iselle, 0.15740042179439773, 0.15029015788080782, 0.0, 0.11244979919678715, 0.07694480552480713,0.0046682237278375845
25, Aosta, 0.2041520701202445, 0.08333333333333333, 0.0, 0.08974358974358974, 0.07643064862644953,0.00510198766957414
26, Ivrea, 0.23092261785881563, 0.12590733038394902, 0.017857142857142856, 0.09850483729111698, 0.08503504321793316,0.008882557050761089
27, Arona, 0.20219042567726575, 0.17854119817282316, 0.017857142857142856, 0.12655367231638417, 0.09017666434417189,0.007860436751365425
28, Novara, 0.2326423088411369, 0.183150040329707, 0.07040979454845, 0.12918108419838523, 0.0911327078724368,0.0071079230387242264
29, Vercelli, 0.24494112457836903, 0.16802180098069044, 0.05646728060593605, 0.11740041928721175, 0.08650524364455568,0.007566352957055994
30, Milan, 0.23096572725252906, 0.2269345447543909, 0.19605721028045214, 0.14432989690721648, 0.14555059644691584,0.02414345096805665
31, Pavia, 0.258772827239232, 0.22424602672240734, 0.012106855809863329, 0.12918108419838523, 0.09328123970629036,0.006415506487993149
32, Torino, 0.26921291624565413, 0.11064529538128073, 0.03135868311288479, 0.10800385728061716, 0.09567176448695677,0.010723254183077345
33, Ferrara, 0.2931336288283428, 0.41358458563864564, 0.12222484454627303, 0.15886524822695036, 0.09965163184531096,0.008703694593133748
34, Cremona, 0.2638864583515773, 0.29105371532837476, 0.019060471645058103, 0.1396508728179551, 0.08898064958571061,0.006374981755404035
35, Piacenza, 0.27207945629160046, 0.26611018281574045, 0.05882126901863741, 0.13725490196078433, 0.11193655170241647,0.011749053831019358
36, Alessandria, 0.285490560005182, 0.183150040329707, 0.01910392535392535, 0.11826821541710665, 0.09726361254174264,0.009482901065071981
37, Asti, 0.28679663544385314, 0.15142123728903883, 0.004464285714285713, 0.10789980732177264, 0.0872206782596541,0.007052107988131373
38, Cuneo, 0.33719933524360446, 0.10095807194547914, 0.017857142857142856, 0.09937888198757763, 0.08512886707794078,0.008824280811475717
39, Limone, 0.35497684786944705, 0.10223832910635897, 0.0, 0.09046849757673667, 0.07644003111258373,0.005077453553606846
40, Ventimiglia, 0.39450798095659234, 0.10543890599096625, 0.0, 0.09621993127147767, 0.07644127076768206,0.005030365808298477
41, San Remo, 0.39188999698854643, 0.11824143358803627, 0.017857142857142856, 0.1063627730294397, 0.0851412646245595,0.008712376272823846
42, Savona, 0.34450529974319366, 0.17248133334974092, 0.08921858382992835, 0.11864406779661017, 0.09569993841763409,0.01097428637093273
43, Genova, 0.33488233259170863, 0.20726870943406006, 0.1265373538554653, 0.13099415204678364, 0.09700950195046537,0.00975279916563258
44, Parma, 0.29644328890059257, 0.31435000768708843, 0.059838019283507994, 0.14414414414414414, 0.09757256088741115,0.00926215197477422
45, Reggio E., 0.3063606367394256, 0.33780415691124704, 0.03454279253151434, 0.14678899082568808, 0.08754756065077945,0.006487141389664913
46, Modena, 0.31164903786753007, 0.36026385013436163, 0.05636280537596326, 0.1564245810055866, 0.09863170231066343,0.008948841426973438
47, Bologna, 0.3264516583269079, 0.3923001433145102, 0.33022695234493094, 0.1747269890795632, 0.12089956084021349,0.013609425863754781
48, Ravenna, 0.3340147222397337, 0.45827563615828243, 0.0637958111172397, 0.15796897038081806, 0.09882827230730402,0.008676709489841658
49, Rimini, 0.368568927522117, 0.48644105603430626, 0.14719699420550816, 0.16, 0.09769512006997079,0.008993225269613629
50, Pesaro, 0.38297075390328117, 0.5129396725432358, 0.1408232735460732, 0.15279672578444747, 0.08718692409537569,0.006757369994395524
51, La Spezia, 0.3638727894127274, 0.27601020955902694, 0.1548409461158244, 0.14451612903225808, 0.09697019430822543,0.009461857030199868
52, Viareggio, 0.3871033699153922, 0.308404945256364, 0.13537114807459788, 0.14933333333333335, 0.09584851508528719,0.00969586174006019
53, Lucca, 0.3887632517838818, 0.32884247561675434, 0.00858000858000858, 0.14177215189873418, 0.08617317332812129,0.006965087407757863
54, Prato, 0.385796513019538, 0.3733870163747043, 0.11963537772582448, 0.16944024205748864, 0.10067357408617512,0.008873767815762863
55, Florence, 0.39632398663615154, 0.38549344567661437, 0.25224621988388, 0.17151607963246554, 0.1199531476336186,0.013776819085614227
56, Pisa, 0.4015817034204473, 0.3198806446823859, 0.1375467931073858, 0.15300546448087432, 0.09607039158538422,0.00962431342430975
57, Livorno, 0.41756496064661164, 0.31347941829381987, 0.05046545536041335, 0.14432989690721648, 0.086143518654081,0.007076705656201674
58, Forli, 0.3527981074626194, 0.4459212284954955, 0.22925279417318348, 0.17364341085271318, 0.11166472388406734,0.010989401970821053
59, Siena, 0.4397088881500374, 0.39142524077188046, 0.07804906743650665, 0.15664335664335666, 0.0991102585483217,0.009099889534252455
60, Arezzo, 0.42588572981873096, 0.43341745162904216, 0.0, 0.15469613259668508, 0.09160963422954793,0.006123961220399343
61, Ancona, 0.41117670645472815, 0.5592873407957155, 0.11113297637457305, 0.13608748481166463, 0.08680629954301779,0.007421321170753434
62, Piombino, 0.4761812407357554, 0.32926135723965905, 0.04921292732217101, 0.14, 0.08609337897022963,0.007109910661294174
63, Perugia, 0.4593505658919209, 0.47265023627872316, 0.01651460133602991, 0.1462140992167102, 0.08824714023922196,0.006765979945591924
