Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
1, Punta Prima, 0.9058095856317695, 0.8414098310982812, 0.0, 0.1220472440944882, 0.10728615118144459,0.009153472761665383
2, Son Ganxo, 0.9166666666666666, 0.8208750640688623, 0.0, 0.1220472440944882, 0.10728615118144459,0.009153472761665383
3, Son Remei, 0.9063109220238492, 0.8222122668278319, 0.06398730830248546, 0.13870246085011187, 0.1294756252881119,0.023904124785603206
4, Es Camp Sarg, 0.8355959800343242, 0.8221672709056107, 0.18244315177154943, 0.15897435897435896, 0.13679814653599445,0.021040112521715254
5, Alcafar Vell, 0.8399930752351963, 0.8446728928795464, 0.06398730830248546, 0.13870246085011187, 0.1294756252881119,0.023904124785603206
6, S'Algar, 0.8492557266492016, 0.8773283758787115, 0.0, 0.1220472440944882, 0.10728615118144459,0.009153472761665383
7, Cala d'Alcafar, 0.8586580852772835, 0.8688406612380039, 0.0, 0.1220472440944882, 0.10728615118144459,0.009153472761665383
8, S'Ullastrar, 0.8162077379365346, 0.7908350109878403, 0.06398730830248546, 0.15577889447236182, 0.13241912229721145,0.022268860386405735
9, Cala Biniancolla, 0.9075519807621484, 0.8141542688362083, 0.0, 0.13507625272331156, 0.10758049541995192,0.008690450274431764
10, Binibequer, 0.8883691966380721, 0.7639866674137407, 0.0, 0.13507625272331156, 0.10758049541995192,0.008690450274431764
11, Sant Lluis, 0.7987591300978826, 0.8053221881379045, 0.2993125330512956, 0.18181818181818182, 0.16564461776214975,0.03008290287238473
12, Es Castell, 0.7049163584060653, 0.8565469700577302, 0.0, 0.1546134663341646, 0.12502004175738382,0.012556771644237519
13, Trepuco, 0.7295482367350525, 0.8202980202577085, 0.013220518244315176, 0.17663817663817663, 0.14117033366293344,0.017864238972098205
14, Mao, 0.6862184861343115, 0.8073489058740109, 0.4712674070156888, 0.20462046204620463, 0.17765341605946644,0.035527362094814774
15, Sant Climent, 0.730739969253472, 0.722485142678267, 0.11528291909042834, 0.17613636363636365, 0.13946822833774594,0.01975166956847784
16, So na Cacana, 0.68979368368957, 0.6487772367456162, 0.0861977789529349, 0.17464788732394365, 0.14389528412973118,0.027133537197290974
17, Cala de Binissafuller, 0.8587156040418139, 0.7410141055692314, 0.0, 0.13191489361702127, 0.10731339538788363,0.008953786246762432
18, Els Canutells, 0.7926854036764206, 0.6603728722977331, 0.0, 0.13191489361702127, 0.10731339538788363,0.008953786246762432
19, Cales Coves, 0.7523555314841148, 0.6244512240288813, 0.0, 0.14903846153846154, 0.10872811118380284,0.008146200146810985
20, Cala en Porter, 0.7517391181125186, 0.6038226235396223, 0.0, 0.14903846153846154, 0.10872811118380284,0.008146200146810985
21, Borrasco Vell, 0.5658288452390812, 0.6200526359092139, 0.26529173276925766, 0.20261437908496732, 0.1386428057244075,0.018724626150317378
22, Alaior, 0.5464159334562757, 0.6122141421549797, 0.24096597919971777, 0.19935691318327975, 0.12149385921514778,0.013050126675723025
23, Vila Tanus, 0.5487583042683415, 0.5998909683938876, 0.2556848228450554, 0.19745222929936307, 0.13291005641157425,0.018927805805751576
24, Llucassaldent Major, 0.5940359211233268, 0.5712640979922462, 0.039749691521240964, 0.16711590296495957, 0.1304439539312074,0.020359099128802155
25, Son Bou, 0.6519294649836492, 0.5113476248881953, 0.0, 0.14351851851851852, 0.1073829848530189,0.008148889244155261
26, Platja de son Bou, 0.6328206504641647, 0.4970745213367719, 0.015512074739996475, 0.16756756756756758, 0.12076067604402711,0.013382015358101993
