Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
1, Figueres, 0.23291499208336208, 0.9166666666666666, 0.0, 0.09480122324159021, 0.08565977591665896,0.006499359890946237
2, Girona, 0.2701565165659664, 0.910734667191589, 0.021505376344086023, 0.1046119235095613, 0.09440637229682754,0.011534103011820925
3, Barcelona, 0.34408233957514756, 0.8537735328719466, 0.04254324450677887, 0.11639549436795996, 0.09621256370432175,0.010392972067910101
4, Tarragona, 0.36588944082354513, 0.7937392546178873, 0.0685250116877045, 0.1308016877637131, 0.10552788659236262,0.013737596224650053
5, Lleida, 0.3106758639497884, 0.7537163801633684, 0.04882733364500544, 0.1411229135053111, 0.09943746558100906,0.009076396126378531
6, Zaragoza, 0.3037451826390437, 0.6450828781129823, 0.22406727408480587, 0.1611785095320624, 0.12665541508789682,0.021095019768810196
7, Tardienta, 0.2678341986203493, 0.6700971746470565, 0.021505376344086023, 0.13943028485757122, 0.09748140524917974,0.01023770306703946
8, Huesca, 0.25272314298779597, 0.678673507275005, 0.0, 0.1225296442687747, 0.08596727815717374,0.0059458447689644985
9, Calatayud, 0.3406333705188812, 0.5914808234234019, 0.12810308555399708, 0.16258741258741258, 0.09939710183764648,0.00910702618495535
10, Alcolea del Pinar, 0.3761969317800058, 0.532161209748622, 0.1503330995792427, 0.170018281535649, 0.1051242817622356,0.013847702211381633
11, Soria, 0.2914856624204005, 0.5317323855959878, 0.0, 0.14553990610328638, 0.08673156288386714,0.00551998691639175
12, Guadalajara, 0.42183808301316794, 0.4814179203448607, 0.154564048620851, 0.18562874251497005, 0.10292293329565717,0.008686151251655864
13, Castejon, 0.2457380417830265, 0.5907661270877893, 0.15202231538136204, 0.15196078431372548, 0.10849664880049002,0.01300159183323199
14, Pamplona Iruna, 0.17199243255565433, 0.5917666939349944, 0.048172822191055, 0.1336206896551724, 0.09760202342464874,0.009302213886092326
15, Alsasua, 0.16139627165193193, 0.5528873332831784, 0.050685678666043316, 0.12722298221614228, 0.10533222066172156,0.014200067382757454
