Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
1, Sant Feliu Consell Comarcal, 0.08687943262411346, 0.13194444444444445, 0.0, 0.045350957155879675, 0.060674579338534464,0.0031828960522408837
2, Torreblanca, 0.08687943262411346, 0.14930555555555555, 0.010050251256281407, 0.047494033412887826, 0.0668046021308797,0.005721396701817756
3, Walden, 0.08687943262411346, 0.16666666666666666, 0.019998984823105425, 0.04982473710565849, 0.06743025147387509,0.005337494769939996
4, Rambla de Sant Just, 0.08687943262411346, 0.1840277777777778, 0.029846200700472055, 0.05236842105263158, 0.06755672331501257,0.005067059060628957
5, Hospital Sant Joan Despi | TV3, 0.11879432624113473, 0.21875, 0.0395918988883813, 0.05515521064301552, 0.06819579364955408,0.004825284733286098
6, Montesa, 0.22517730496453903, 0.21875, 0.052704600443293906, 0.058221181977764776, 0.07446002756736886,0.006776243250575527
7, La Sardana, 0.22517730496453903, 0.2361111111111111, 0.032223406595265895, 0.06108041743400859, 0.06819649734195109,0.004722308233026155
8, Pont d'Esplugues, 0.22872340425531912, 0.2482638888888889, 0.04034482175185693, 0.06423499031633312, 0.06756376059804345,0.0048261209317032785
9, Can Clota, 0.2606382978723404, 0.2552083333333333, 0.04846623690844796, 0.06773315180394826, 0.0674999215383259,0.004870984093353444
10, Ca n'Oliveres, 0.29255319148936165, 0.2690972222222222, 0.056587652065039, 0.07163426925845932, 0.06749426738269103,0.004868466119978375
11, Can Rigal, 0.32446808510638303, 0.2847222222222222, 0.06470906722163003, 0.0760122230710466, 0.06750156581367883,0.0048207678739490565
12, Ernest Lluch, 0.3599290780141844, 0.3090277777777778, 0.07298275891240714, 0.08096013018714401, 0.06758020792703455,0.004709176725592005
13, Av de Xile, 0.32092198581560283, 0.3420138888888889, 0.08156100367155643, 0.08705161854768154, 0.06835934014390754,0.004495008441879322
14, Zona Universitaria, 0.2606382978723404, 0.3697916666666667, 0.1096856335549803, 0.09413434247871334, 0.07607204227801713,0.006154656520466735
15, Palau Reial, 0.2783687943262412, 0.3871527777777778, 0.017888262863137237, 0.0865970409051349, 0.06842973947506992,0.004411013684277417
16, Pius XII, 0.30673758865248224, 0.4079861111111111, 0.017600629409674644, 0.0886019590382903, 0.06828420452959978,0.004512672273698464
17, Maria Cristina, 0.3315602836879432, 0.421875, 0.04091585875505471, 0.09132629646626893, 0.07447114168446936,0.006660230442966791
18, Numancia, 0.3670212765957447, 0.4392361111111111, 0.019998984823105425, 0.08386009270965024, 0.06812874765826106,0.00496511789815552
19, L'Illa, 0.40248226950354615, 0.4565972222222222, 0.010050251256281407, 0.07746204748929544, 0.06687515682094108,0.005474541108070486
20, Francesc Macia, 0.4379432624113475, 0.4739583333333333, 0.0, 0.07191904589808457, 0.06068163464210262,0.0030774860647149785
21, El Pedro, 0.2606382978723404, 0.19618055555555555, 0.03195269275671286, 0.061042944785276075, 0.06826680209809413,0.004636997308259915
22, Ignasi Iglesias, 0.29609929078014185, 0.17881944444444445, 0.040514017900952576, 0.06444300518134716, 0.06826680958707847,0.004625307462312421
