Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
1, 1, 0.8031812603585481, 0.5134406901958813, 0.3194993412384717, 0.38333333333333336, 0.2492208008123563,0.067372317011761
2, 2, 0.6517935839205813, 0.56182779899364, 0.0836627140974967, 0.36507936507936506, 0.21639067675740634,0.04050152554544225
3, 3, 0.7653527915891752, 0.11021505873185618, 0.1162714097496706, 0.27380952380952384, 0.20318177451722724,0.04901991079899515
4, 4, 0.5533425690464442, 0.19086009630863715, 0.2019104084321475, 0.32857142857142857, 0.22468571416009803,0.05852784875137396
5, 5, 0.6517935839205813, 0.43010764642179317, 0.22002635046113309, 0.38333333333333336, 0.21565107017509044,0.04159847071933547
6, 6, 0.5533425690464442, 0.5403226959123969, 0.22035573122529642, 0.3770491803278688, 0.23217031510575284,0.05391811046903612
7, 7, 0.5571380675851774, 0.602150648926912, 0.11166007905138337, 0.36507936507936506, 0.23208193140978986,0.05336627665027043
8, 8, 0.519256883558322, 0.6908602811336872, 0.04973649538866931, 0.32857142857142857, 0.210345123985072,0.04219885414112484
9, 9, 0.46244037904378743, 0.6720428423234087, 0.09552042160737813, 0.3194444444444444, 0.21147954683677778,0.04315416830132998
10, 10, 0.5003110200191462, 0.8091395648454375, 0.16271409749670615, 0.34328358208955223, 0.20945582372332164,0.043702006158331225
11, 11, 0.5003110200191462, 0.5134406901958813, 0.2012516469038208, 0.3382352941176471, 0.20714580466789786,0.046116305002901356
12, 12, 0.28431552401074545, 0.21774212974891027, 0.058959156785243744, 0.2911392405063291, 0.18594728630627966,0.032825958706598546
13, 13, 0.34876519780873216, 0.36559140381156074, 0.06455862977602109, 0.2948717948717949, 0.18435274936840526,0.03326729761726013
14, 14, 0.24564361112165412, 0.5349461043992921, 0.16139657444005268, 0.3026315789473684, 0.20450080858891515,0.050366006636264345
15, 15, 0.19711394508335323, 0.7016128172722214, 0.17325428194993409, 0.2948717948717949, 0.22193441954566137,0.06403110846116088
16, 16, 0.3313269906335531, 0.8758063916938144, 0.06455862977602109, 0.2987012987012987, 0.18455828982201847,0.033038239236862985
17, 17, 0.235026758264698, 0.9166666666666666, 0.04677206851119895, 0.2804878048780488, 0.18569271267372425,0.03389907089766299
18, 18, 0.08333333333333326, 0.7016128172722214, 0.0, 0.23, 0.16723689093036592,0.019857187807174118
19, 19, 0.15918004579901557, 0.5403226959123969, 0.0, 0.23469387755102042, 0.16549353266128375,0.02051999217737692
20, 20, 0.6139334859967189, 0.08333333333333334, 0.0, 0.26136363636363635, 0.188176793435839,0.031739067378425634
21, 21, 0.9166666666666667, 0.37903225110873473, 0.0, 0.2948717948717949, 0.1909028881417728,0.03030363711693776
22, 22, 0.8788487409487903, 0.31989259385077207, 0.12450592885375492, 0.3108108108108108, 0.20937395238560383,0.044471753150619825
23, 23, 0.6517935839205813, 0.13709673792411653, 0.06093544137022397, 0.27380952380952384, 0.2066478576796701,0.04606565459195774
24, 24, 0.9166666666666667, 0.08333333333333334, 0.0, 0.2169811320754717, 0.1653616286598574,0.020139232671796035
